Name,Category,Difficulty,Cook Time (min),Recipe Link,Cover,Favourite,Archive,Ingredients,Weekly Meal Plan,Date,Date 1,Taste
Chicken Soup,Soup," Medium",60,https://downshiftology.com/recipes/chicken-soup/,,Yes,No,"Celery (https://www.notion.so/Celery-184584753e2e804f8be9da24d21afc23?pvs=21), Carrot (https://www.notion.so/Carrot-184584753e2e80479af0fd8fbade300f?pvs=21), Onion (https://www.notion.so/Onion-184584753e2e806696cff3e9a2ab34d2?pvs=21), Chicken Breast (https://www.notion.so/Chicken-Breast-184584753e2e800cb03cd9638e09060a?pvs=21), Chicken Broth (https://www.notion.so/Chicken-Broth-184584753e2e8047a638fa731624eb85?pvs=21), Angel Hair Pasta (https://www.notion.so/Angel-Hair-Pasta-184584753e2e80c89a4bcc8f6c400c58?pvs=21), Parsley (https://www.notion.so/Parsley-184584753e2e80219856cb1770c6ee35?pvs=21), Lemon (https://www.notion.so/Lemon-184584753e2e809bbc00f22743457167?pvs=21), Garlic (https://www.notion.so/Garlic-184584753e2e80a1a750e22e063393f5?pvs=21), Salt (https://www.notion.so/Salt-184584753e2e80f0bc01d9405b19e308?pvs=21), Pepper (https://www.notion.so/Pepper-184584753e2e80abbb1efa83dd67817f?pvs=21), Oregano (https://www.notion.so/Oregano-184584753e2e80c683d9ce502bb70810?pvs=21), Onion Powder (https://www.notion.so/Onion-Powder-184584753e2e80be94caeb37067c7e3c?pvs=21), Pul Biber (https://www.notion.so/Pul-Biber-184584753e2e80048777d130b5104e89?pvs=21)",,,,Good
Kofte,Main Course," Medium",60,,,Yes,No,,,,,Great
